"name","job_title_short","salary_year_avg"
"Mantys","Data Analyst","650000.0"
"Meta","Data Analyst","336500.0"
"AT&T","Data Analyst","255829.5"
"Pinterest Job Advertisements","Data Analyst","232423.0"
"Uclahealthcareers","Data Analyst","217000.0"
"SmartAsset","Data Analyst","205000.0"
"Inclusively","Data Analyst","189309.0"
"Motional","Data Analyst","189000.0"
"SmartAsset","Data Analyst","186000.0"
"Get It Recruit - Information Technology","Data Analyst","184000.0"
"Kelly Science, Engineering, Technology & Telecom","Data Analyst","170000.0"
"A-Line Staffing Solutions","Data Analyst","170000.0"
"Robert Half","Data Analyst","170000.0"
"Uber","Data Analyst","167000.0"
"Plexus Resource Solutions","Data Analyst","165000.0"
"Get It Recruit - Information Technology","Data Analyst","165000.0"
"Mayo Clinic","Data Analyst","164746.0"
"Mayo Clinic","Data Analyst","164746.0"
"CEDARS-SINAI","Data Analyst","163500.0"
"DIRECTV","Data Analyst","160515.0"
