"company_name","job_name","salary_average","skills"
"AT&T","Data Analyst","255829.5","sql"
"AT&T","Data Analyst","255829.5","python"
"AT&T","Data Analyst","255829.5","r"
"AT&T","Data Analyst","255829.5","azure"
"AT&T","Data Analyst","255829.5","databricks"
"AT&T","Data Analyst","255829.5","aws"
"AT&T","Data Analyst","255829.5","pandas"
"AT&T","Data Analyst","255829.5","pyspark"
"AT&T","Data Analyst","255829.5","jupyter"
"AT&T","Data Analyst","255829.5","excel"
"AT&T","Data Analyst","255829.5","tableau"
"AT&T","Data Analyst","255829.5","power bi"
"AT&T","Data Analyst","255829.5","powerpoint"
"Pinterest Job Advertisements","Data Analyst","232423.0","sql"
"Pinterest Job Advertisements","Data Analyst","232423.0","python"
"Pinterest Job Advertisements","Data Analyst","232423.0","r"
"Pinterest Job Advertisements","Data Analyst","232423.0","hadoop"
"Pinterest Job Advertisements","Data Analyst","232423.0","tableau"
"Uclahealthcareers","Data Analyst","217000.0","sql"
"Uclahealthcareers","Data Analyst","217000.0","crystal"
"Uclahealthcareers","Data Analyst","217000.0","oracle"
"Uclahealthcareers","Data Analyst","217000.0","tableau"
"Uclahealthcareers","Data Analyst","217000.0","flow"
"SmartAsset","Data Analyst","205000.0","sql"
"SmartAsset","Data Analyst","205000.0","python"
"SmartAsset","Data Analyst","205000.0","go"
"SmartAsset","Data Analyst","205000.0","snowflake"
"SmartAsset","Data Analyst","205000.0","pandas"
"SmartAsset","Data Analyst","205000.0","numpy"
"SmartAsset","Data Analyst","205000.0","excel"
"SmartAsset","Data Analyst","205000.0","tableau"
"SmartAsset","Data Analyst","205000.0","gitlab"
"Inclusively","Data Analyst","189309.0","sql"
"Inclusively","Data Analyst","189309.0","python"
"Inclusively","Data Analyst","189309.0","azure"
"Inclusively","Data Analyst","189309.0","aws"
"Inclusively","Data Analyst","189309.0","oracle"
"Inclusively","Data Analyst","189309.0","snowflake"
"Inclusively","Data Analyst","189309.0","tableau"
"Inclusively","Data Analyst","189309.0","power bi"
"Inclusively","Data Analyst","189309.0","sap"
"Inclusively","Data Analyst","189309.0","jenkins"
"Inclusively","Data Analyst","189309.0","bitbucket"
"Inclusively","Data Analyst","189309.0","atlassian"
"Inclusively","Data Analyst","189309.0","jira"
"Inclusively","Data Analyst","189309.0","confluence"
"Motional","Data Analyst","189000.0","sql"
"Motional","Data Analyst","189000.0","python"
"Motional","Data Analyst","189000.0","r"
"Motional","Data Analyst","189000.0","git"
"Motional","Data Analyst","189000.0","bitbucket"
"Motional","Data Analyst","189000.0","atlassian"
"Motional","Data Analyst","189000.0","jira"
"Motional","Data Analyst","189000.0","confluence"
"SmartAsset","Data Analyst","186000.0","sql"
"SmartAsset","Data Analyst","186000.0","python"
"SmartAsset","Data Analyst","186000.0","go"
"SmartAsset","Data Analyst","186000.0","snowflake"
"SmartAsset","Data Analyst","186000.0","pandas"
"SmartAsset","Data Analyst","186000.0","numpy"
"SmartAsset","Data Analyst","186000.0","excel"
"SmartAsset","Data Analyst","186000.0","tableau"
"SmartAsset","Data Analyst","186000.0","gitlab"
"Get It Recruit - Information Technology","Data Analyst","184000.0","sql"
"Get It Recruit - Information Technology","Data Analyst","184000.0","python"
"Get It Recruit - Information Technology","Data Analyst","184000.0","r"
